uf_sigla,qtd_analise_de_dados,qtd_gestao,qtd_outros,total_tech,populacao,pib_per_capita,densidade_analise_de_dados_por_milhao,densidade_gestao_por_milhao,densidade_outros_por_milhao
AL,0,2,12,14,,,,,
BA,0,4,54,58,,,,,
CE,0,6,62,68,,,,,
DF,0,8,88,96,,,,,
ES,0,3,29,32,,,,,
GO,0,9,48,57,,,,,
MA,0,2,7,9,,,,,
MG,0,37,304,341,,,,,
MS,0,0,12,12,,,,,
MT,0,3,16,19,,,,,
ND,1,807,14009,14817,,,,,
PB,0,2,37,39,,,,,
PE,0,6,52,58,,,,,
PI,0,1,12,13,,,,,
PR,0,15,134,149,,,,,
RJ,0,22,200,222,,,,,
RN,0,1,21,22,,,,,
RS,0,10,126,136,,,,,
SC,0,14,101,115,,,,,
SE,0,3,17,20,,,,,
SP,0,152,924,1076,,,,,
