uf_sigla,total_respondentes,populacao_censo_2022,pib_per_capita_anual,respondentes_por_100k_hab
AC,15,830018,18420,1.81
AL,42,3127683,16980,1.34
AM,120,3941613,27570,3.04
AP,12,733759,19560,1.64
BA,350,14141626,20450,2.47
CE,280,8794957,19680,3.18
DF,450,2817381,92730,15.97
ES,210,3833712,45350,5.48
GO,260,7056495,37500,3.68
MA,55,6776699,15830,0.81
MG,1100,20538718,30730,5.36
MS,130,2757013,59650,4.72
MT,140,3658649,65410,3.83
PA,110,8121025,20680,1.35
PB,95,3974687,16920,2.39
PE,310,9058931,22360,3.42
PI,45,3272199,16540,1.38
PR,950,11444380,47790,8.30
RJ,1450,16054524,49090,9.03
RN,105,3302729,20730,3.18
RO,50,1581196,28720,3.16
RR,10,636707,24250,1.57
RS,850,10882965,51130,7.81
SC,1200,7610361,52670,15.77
SE,60,2209558,20140,2.72
SP,4500,44411238,51360,10.13
TO,35,1511460,29630,2.32
