Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Ano (Código),Ano,Variável (Código),Variável,Sexo (Código),Sexo,Idade (Código),Idade,Forma de declaração da idade (Código),Forma de declaração da idade
3,Unidade da Federação,45,Pessoas,1581196,11,Rondônia,2022,2022,93,População residente,6794,Total,100362,Total,113635,Total
3,Unidade da Federação,45,Pessoas,113450,11,Rondônia,2022,2022,93,População residente,6794,Total,93070,0 a 4 anos,113635,Total
3,Unidade da Federação,45,Pessoas,21672,11,Rondônia,2022,2022,93,População residente,6794,Total,6557,Menos de 1 ano,113635,Total
3,Unidade da Federação,45,Pessoas,1668,11,Rondônia,2022,2022,93,População residente,6794,Total,93071,Menos de 1 mês,113635,Total
3,Unidade da Federação,45,Pessoas,1737,11,Rondônia,2022,2022,93,População residente,6794,Total,93072,1 mês,113635,Total
3,Unidade da Federação,45,Pessoas,1852,11,Rondônia,2022,2022,93,População residente,6794,Total,93073,2 meses,113635,Total
3,Unidade da Federação,45,Pessoas,1808,11,Rondônia,2022,2022,93,População residente,6794,Total,93074,3 meses,113635,Total
3,Unidade da Federação,45,Pessoas,1946,11,Rondônia,2022,2022,93,População residente,6794,Total,93075,4 meses,113635,Total
3,Unidade da Federação,45,Pessoas,1614,11,Rondônia,2022,2022,93,População residente,6794,Total,93076,5 meses,113635,Total
3,Unidade da Federação,45,Pessoas,1800,11,Rondônia,2022,2022,93,População residente,6794,Total,93077,6 meses,113635,Total
3,Unidade da Federação,45,Pessoas,1872,11,Rondônia,2022,2022,93,População residente,6794,Total,93078,7 meses,113635,Total
3,Unidade da Federação,45,Pessoas,1928,11,Rondônia,2022,2022,93,População residente,6794,Total,93079,8 meses,113635,Total
3,Unidade da Federação,45,Pessoas,1902,11,Rondônia,2022,2022,93,População residente,6794,Total,93080,9 meses,113635,Total
3,Unidade da Federação,45,Pessoas,1822,11,Rondônia,2022,2022,93,População residente,6794,Total,93081,10 meses,113635,Total
3,Unidade da Federação,45,Pessoas,1723,11,Rondônia,2022,2022,93,População residente,6794,Total,93082,11 meses,113635,Total
3,Unidade da Federação,45,Pessoas,21218,11,Rondônia,2022,2022,93,População residente,6794,Total,6558,1 ano,113635,Total
3,Unidade da Federação,45,Pessoas,22711,11,Rondônia,2022,2022,93,População residente,6794,Total,6559,2 anos,113635,Total
3,Unidade da Federação,45,Pessoas,24054,11,Rondônia,2022,2022,93,População residente,6794,Total,6560,3 anos,113635,Total
3,Unidade da Federação,45,Pessoas,23795,11,Rondônia,2022,2022,93,População residente,6794,Total,6561,4 anos,113635,Total
3,Unidade da Federação,45,Pessoas,117536,11,Rondônia,2022,2022,93,População residente,6794,Total,93084,5 a 9 anos,113635,Total
3,Unidade da Federação,45,Pessoas,22984,11,Rondônia,2022,2022,93,População residente,6794,Total,6562,5 anos,113635,Total
3,Unidade da Federação,45,Pessoas,23773,11,Rondônia,2022,2022,93,População residente,6794,Total,6563,6 anos,113635,Total
3,Unidade da Federação,45,Pessoas,23863,11,Rondônia,2022,2022,93,População residente,6794,Total,6564,7 anos,113635,Total
3,Unidade da Federação,45,Pessoas,23410,11,Rondônia,2022,2022,93,População residente,6794,Total,6565,8 anos,113635,Total
3,Unidade da Federação,45,Pessoas,23506,11,Rondônia,2022,2022,93,População residente,6794,Total,6566,9 anos,113635,Total
3,Unidade da Federação,45,Pessoas,117166,11,Rondônia,2022,2022,93,População residente,6794,Total,93085,10 a 14 anos,113635,Total
3,Unidade da Federação,45,Pessoas,23243,11,Rondônia,2022,2022,93,População residente,6794,Total,6567,10 anos,113635,Total
3,Unidade da Federação,45,Pessoas,23070,11,Rondônia,2022,2022,93,População residente,6794,Total,6568,11 anos,113635,Total
3,Unidade da Federação,45,Pessoas,23528,11,Rondônia,2022,2022,93,População residente,6794,Total,6569,12 anos,113635,Total
