NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Ano (Código),Ano,Variável (Código),Variável,Grupo de idade (Código),Grupo de idade
3,Unidade da Federação,1572,Mil pessoas,1490,11,Rondônia,2024,2024,2620,Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,1.0,11,Rondônia,2024,2024,2623,Coeficiente de variação - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,100.0,11,Rondônia,2024,2024,10650,Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,-,11,Rondônia,2024,2024,10651,Coeficiente de variação - Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,1572,Mil pessoas,632,12,Acre,2024,2024,2620,Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,1.3,12,Acre,2024,2024,2623,Coeficiente de variação - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,100.0,12,Acre,2024,2024,10650,Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,-,12,Acre,2024,2024,10651,Coeficiente de variação - Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,1572,Mil pessoas,3071,13,Amazonas,2024,2024,2620,Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,1.0,13,Amazonas,2024,2024,2623,Coeficiente de variação - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,100.0,13,Amazonas,2024,2024,10650,Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
